"region","sector","Year","co2.emiss","scenario"
"TN","cement","1990",0.211325,"NEWdac_netzero_usa_global_ssp2_highEV"
"TX","cement","1990",1.08227,"NEWdac_netzero_usa_global_ssp2_highEV"
"UT","cement","1990",0.102437,"NEWdac_netzero_usa_global_ssp2_highEV"
"VA","cement","1990",0.260444,"NEWdac_netzero_usa_global_ssp2_highEV"
"WA","cement","1990",0.206666,"NEWdac_netzero_usa_global_ssp2_highEV"
"WI","cement","1990",0.160893,"NEWdac_netzero_usa_global_ssp2_highEV"
"WV","cement","1990",0.0585828,"NEWdac_netzero_usa_global_ssp2_highEV"
"AK","coal to liquids","1990",0,"NEWdac_netzero_usa_global_ssp2_highEV"
"AL","coal to liquids","1990",0,"NEWdac_netzero_usa_global_ssp2_highEV"
"AR","coal to liquids","1990",0,"NEWdac_netzero_usa_global_ssp2_highEV"
"AZ","coal to liquids","1990",0,"NEWdac_netzero_usa_global_ssp2_highEV"
"CO","coal to liquids","1990",0,"NEWdac_netzero_usa_global_ssp2_highEV"
"IL","coal to liquids","1990",0,"NEWdac_netzero_usa_global_ssp2_highEV"
"IN","coal to liquids","1990",0,"NEWdac_netzero_usa_global_ssp2_highEV"
"KY","coal to liquids","1990",0,"NEWdac_netzero_usa_global_ssp2_highEV"
"LA","coal to liquids","1990",0,"NEWdac_netzero_usa_global_ssp2_highEV"
"MD","coal to liquids","1990",0,"NEWdac_netzero_usa_global_ssp2_highEV"
"MO","coal to liquids","1990",0,"NEWdac_netzero_usa_global_ssp2_highEV"
"MS","coal to liquids","1990",0,"NEWdac_netzero_usa_global_ssp2_highEV"
"MT","coal to liquids","1990",0,"NEWdac_netzero_usa_global_ssp2_highEV"
"ND","coal to liquids","1990",0,"NEWdac_netzero_usa_global_ssp2_highEV"
"NM","coal to liquids","1990",0,"NEWdac_netzero_usa_global_ssp2_highEV"
"OH","coal to liquids","1990",0,"NEWdac_netzero_usa_global_ssp2_highEV"
"OK","coal to liquids","1990",0,"NEWdac_netzero_usa_global_ssp2_highEV"
"PA","coal to liquids","1990",0,"NEWdac_netzero_usa_global_ssp2_highEV"
"TN","coal to liquids","1990",0,"NEWdac_netzero_usa_global_ssp2_highEV"
"TX","coal to liquids","1990",0,"NEWdac_netzero_usa_global_ssp2_highEV"
"UT","coal to liquids","1990",0,"NEWdac_netzero_usa_global_ssp2_highEV"
"VA","coal to liquids","1990",0,"NEWdac_netzero_usa_global_ssp2_highEV"
"WV","coal to liquids","1990",0,"NEWdac_netzero_usa_global_ssp2_highEV"
"WY","coal to liquids","1990",0,"NEWdac_netzero_usa_global_ssp2_highEV"
"AK","comm cooking","1990",0.01100921,"NEWdac_netzero_usa_global_ssp2_highEV"
