final energy consumption by sector and fuel,,,,,,,,,,,,,,,,,,
scenario,region,sector,input,1990,2005,2010,2015,2020,2025,2030,2035,2040,2045,2050,2065,2080,2095,Units
"NEWdac_netzero_usa_global_ssp2_highEV,date=2022-26-5T23:05:31+20:00",AK,resid cooling,electricity,6.70E-06,4.85E-05,3.33E-05,3.62E-05,3.62E-05,3.58E-05,3.75E-05,3.93E-05,4.12E-05,4.35E-05,4.58E-05,0,0,0,EJ
"NEWdac_netzero_usa_global_ssp2_highEV,date=2022-26-5T23:05:31+20:00",AK,resid dishwashers,electricity,0,1.44E-04,1.27E-04,9.96E-05,9.62E-05,9.34E-05,9.37E-05,9.44E-05,9.48E-05,1.00E-04,1.05E-04,0,0,0,EJ
"NEWdac_netzero_usa_global_ssp2_highEV,date=2022-26-5T23:05:31+20:00",AK,resid freezers,electricity,1.45E-04,1.26E-04,1.01E-04,8.10E-05,7.94E-05,8.06E-05,8.48E-05,8.94E-05,9.39E-05,9.82E-05,1.02E-04,0,0,0,EJ
"NEWdac_netzero_usa_global_ssp2_highEV,date=2022-26-5T23:05:31+20:00",AK,resid furnace fans,electricity,0,8.86E-05,1.59E-04,1.15E-04,1.01E-04,9.13E-05,8.74E-05,8.48E-05,8.21E-05,8.61E-05,8.96E-05,0,0,0,EJ
"NEWdac_netzero_usa_global_ssp2_highEV,date=2022-26-5T23:05:31+20:00",AK,resid heating,biomass,0.0012773,9.95E-04,0.00217551,0.0048165,0.004437979,0.004227323,0.004028329,0.003751291,0.003229164,0.002584844,0.00196714,0,0,0,EJ
"NEWdac_netzero_usa_global_ssp2_highEV,date=2022-26-5T23:05:31+20:00",AK,resid heating,coal,0.00406609,5.34E-04,0,0,0,0,0,0,0,0,0,0,0,0,EJ
"NEWdac_netzero_usa_global_ssp2_highEV,date=2022-26-5T23:05:31+20:00",AK,resid heating,electricity,0.002896899,0.001800301,0.002425812,0.0029621,0.003341493,0.003530838,0.004114548,0.004804419,0.005528389,0.006303667,0.006955587,0,0,0,EJ
"NEWdac_netzero_usa_global_ssp2_highEV,date=2022-26-5T23:05:31+20:00",AK,resid heating,gas,0.011049199,0.014248801,0.014673801,0.0136417,0.012382002,0.011507697,0.010387497,0.009043771,0.007680789,0.006557734,0.005870331,0,0,0,EJ
"NEWdac_netzero_usa_global_ssp2_highEV,date=2022-26-5T23:05:31+20:00",AK,resid heating,refined liquids,0.008147679,0.008013221,0.006729521,0.0039496,0.00354814,0.003269712,0.002887339,0.002436475,0.00194216,0.001448156,0.001011012,0,0,0,EJ
"NEWdac_netzero_usa_global_ssp2_highEV,date=2022-26-5T23:05:31+20:00",AK,resid hot water,electricity,8.62E-04,0.00125002,0.00120864,0.00149778,0.00172139,0.001884242,0.002179428,0.002383809,0.002369451,0.002386485,0.002412523,0,0,0,EJ
"NEWdac_netzero_usa_global_ssp2_highEV,date=2022-26-5T23:05:31+20:00",AK,resid hot water,gas,0.001379522,0.002374244,0.002533777,0.003328756,0.002962816,0.002835371,0.002723194,0.002546123,0.002685447,0.002794212,0.00296006,0,0,0,EJ
"NEWdac_netzero_usa_global_ssp2_highEV,date=2022-26-5T23:05:31+20:00",AK,resid hot water,refined liquids,2.24E-05,5.00E-04,8.70E-04,6.75E-04,5.73E-04,5.14E-04,4.43E-04,3.45E-04,3.42E-04,3.01E-04,2.42E-04,0,0,0,EJ
"NEWdac_netzero_usa_global_ssp2_highEV,date=2022-26-5T23:05:31+20:00",AK,resid lighting,electricity,6.41E-04,0.001092289,8.56E-04,5.04E-04,3.29E-04,1.19E-04,1.07E-04,1.07E-04,1.12E-04,1.16E-04,1.21E-04,0,0,0,EJ
"NEWdac_netzero_usa_global_ssp2_highEV,date=2022-26-5T23:05:31+20:00",AK,resid other,electricity,4.65E-04,0.0015175,0.0014142,0.0011592,0.00126952,0.00127158,0.00137228,0.00140465,0.0014553,0.00153698,0.00159238,0,0,0,EJ
"NEWdac_netzero_usa_global_ssp2_highEV,date=2022-26-5T23:05:31+20:00",AK,resid other,gas,5.65E-05,0,2.86E-04,2.25E-04,1.63E-04,1.78E-04,1.75E-04,1.99E-04,2.19E-04,2.29E-04,2.45E-04,0,0,0,EJ
"NEWdac_netzero_usa_global_ssp2_highEV,date=2022-26-5T23:05:31+20:00",AK,resid other,refined liquids,5.35E-05,2.22E-04,3.47E-04,2.43E-04,1.67E-04,1.80E-04,1.79E-04,2.25E-04,2.55E-04,2.52E-04,2.61E-04,0,0,0,EJ
"NEWdac_netzero_usa_global_ssp2_highEV,date=2022-26-5T23:05:31+20:00",AK,resid refrigerators,electricity,4.86E-04,5.92E-04,4.85E-04,3.81E-04,3.71E-04,3.74E-04,3.91E-04,4.09E-04,4.26E-04,4.46E-04,4.63E-04,0,0,0,EJ
