CO2 sequestration by tech,,,,,,,,,,,,,,,,,,,
scenario,region,sector,technology,subsector,1990,2005,2010,2015,2020,2025,2030,2035,2040,2045,2050,2065,2080,2095,Units
"NEWdac_netzero_usa_global_ssp2_highEV,date=2022-25-5T12:51:07-04:00",AL,base load generation,biomass (IGCC CCS) (dry cooling),biomass_base_IGCC_CCS,0,0,0,0,0,5.73E-04,0.006045456,0.026739833,0.061672299,0.093466156,0.105286019,0,0,0,MTC
"NEWdac_netzero_usa_global_ssp2_highEV,date=2022-25-5T12:51:07-04:00",AL,base load generation,biomass (IGCC CCS) (recirculating),biomass_base_IGCC_CCS,0,0,0,0,0,5.91E-04,0.006174532,0.02693212,0.061900186,0.094194133,0.106500736,0,0,0,MTC
"NEWdac_netzero_usa_global_ssp2_highEV,date=2022-25-5T12:51:07-04:00",AL,base load generation,biomass (IGCC CCS) (seawater),biomass_base_IGCC_CCS,0,0,0,0,0,5.94E-04,0.00620717,0.027109048,0.062342414,0.094860971,0.107234319,0,0,0,MTC
"NEWdac_netzero_usa_global_ssp2_highEV,date=2022-25-5T12:51:07-04:00",AL,base load generation,biomass (conv CCS) (recirculating),biomass_base_conv_CCS,0,0,0,0,0,0.0031792,0.04255869,0.27132182,0.69741604,0.97974259,1.04364057,0,0,0,MTC
"NEWdac_netzero_usa_global_ssp2_highEV,date=2022-25-5T12:51:07-04:00",AL,base load generation,coal (IGCC CCS) (dry cooling),coal_base_IGCC_CCS,0,0,0,0,0,0.0140544,0.0708835,0.133044,0.1918259,0.2541001,0.309196,0,0,0,MTC
"NEWdac_netzero_usa_global_ssp2_highEV,date=2022-25-5T12:51:07-04:00",AL,base load generation,coal (IGCC CCS) (recirculating),coal_base_IGCC_CCS,0,0,0,0,0,0.0147631,0.0747052,0.1405454,0.2030535,0.2694864,0.3283719,0,0,0,MTC
"NEWdac_netzero_usa_global_ssp2_highEV,date=2022-25-5T12:51:07-04:00",AL,base load generation,coal (IGCC CCS) (seawater),coal_base_IGCC_CCS,0,0,0,0,0,0.0148451,0.0751226,0.1413358,0.2042034,0.2710187,0.3302504,0,0,0,MTC
"NEWdac_netzero_usa_global_ssp2_highEV,date=2022-25-5T12:51:07-04:00",AL,base load generation,coal (conv pul CCS) (dry cooling),coal_base_conv pul_CCS,0,0,0,0,0,0.018498,0.0883322,0.1607255,0.2262648,0.2930314,0.3507839,0,0,0,MTC
"NEWdac_netzero_usa_global_ssp2_highEV,date=2022-25-5T12:51:07-04:00",AL,base load generation,coal (conv pul CCS) (recirculating),coal_base_conv pul_CCS,0,0,0,0,0,0.0196163,0.0938484,0.1710532,0.241205,0.3128569,0.3749002,0,0,0,MTC
"NEWdac_netzero_usa_global_ssp2_highEV,date=2022-25-5T12:51:07-04:00",AL,base load generation,coal (conv pul CCS) (seawater),coal_base_conv pul_CCS,0,0,0,0,0,0.0197331,0.0943986,0.1720513,0.2426091,0.3146703,0.3770732,0,0,0,MTC
"NEWdac_netzero_usa_global_ssp2_highEV,date=2022-25-5T12:51:07-04:00",AL,base load generation,gas (CC CCS) (recirculating),gas_base_CC_CCS,0,0,0,0,0,0.0545286,0.3398659,0.6399788,0.936116,1.2674804,1.5614202,0,0,0,MTC
"NEWdac_netzero_usa_global_ssp2_highEV,date=2022-25-5T12:51:07-04:00",AL,biomass liquids,FT biofuels CCS level 1,biomass liquids,0,0,0,0,0,0,0,0.0995273,0.3645382,0.366169,0.45290572,0,0,0,MTC
"NEWdac_netzero_usa_global_ssp2_highEV,date=2022-25-5T12:51:07-04:00",AL,biomass liquids,FT biofuels CCS level 2,biomass liquids,0,0,0,0,0,0,0,0.127981,0.489738,0.49200232,0.60026782,0,0,0,MTC
"NEWdac_netzero_usa_global_ssp2_highEV,date=2022-25-5T12:51:07-04:00",AL,biomass liquids,cellulosic ethanol CCS level 1,biomass liquids,0,0,0,0,0,0,0,0.0391009,0.1112181,0.111478962,0.12129474,0,0,0,MTC
"NEWdac_netzero_usa_global_ssp2_highEV,date=2022-25-5T12:51:07-04:00",AL,biomass liquids,cellulosic ethanol CCS level 2,biomass liquids,0,0,0,0,0,0,0,0.351042,1.32896,1.33479864,1.59767974,0,0,0,MTC
"NEWdac_netzero_usa_global_ssp2_highEV,date=2022-25-5T12:51:07-04:00",AL,cement,cement CCS,cement,0,0,0,0,0,0.104263,0.165568,0.202014,0.222129,0.233231,0.24802,0,0,0,MTC
"NEWdac_netzero_usa_global_ssp2_highEV,date=2022-25-5T12:51:07-04:00",AL,coal to liquids,coal to liquids CCS level 1,coal to liquids,0,0,0,0,0,0,0,8.97E-04,0.002526195,0.002538601,0.009857382,0,0,0,MTC
"NEWdac_netzero_usa_global_ssp2_highEV,date=2022-25-5T12:51:07-04:00",AL,coal to liquids,coal to liquids CCS level 2,coal to liquids,0,0,0,0,0,0,0,0.00110308,0.00335173,0.003378932,0.01338372,0,0,0,MTC
"NEWdac_netzero_usa_global_ssp2_highEV,date=2022-25-5T12:51:07-04:00",AL,industrial feedstocks,refined liquids,refined liquids,1.08903,2.0334,0.981787,1.05041,1.06185,1.0725,1.11174,1.13571,1.15383,1.16901,1.21007,0,0,0,MTC
"NEWdac_netzero_usa_global_ssp2_highEV,date=2022-25-5T12:51:07-04:00",AL,intermediate generation,biomass (IGCC CCS) (dry cooling),biomass_int_IGCC_CCS,0,0,0,0,0,1.36E-04,6.54E-04,0.001625636,0.003080902,0.005116507,0.006954254,0,0,0,MTC
"NEWdac_netzero_usa_global_ssp2_highEV,date=2022-25-5T12:51:07-04:00",AL,intermediate generation,biomass (IGCC CCS) (recirculating),biomass_int_IGCC_CCS,0,0,0,0,0,1.39E-04,6.69E-04,0.00165828,0.003143138,0.005232461,0.007137326,0,0,0,MTC
"NEWdac_netzero_usa_global_ssp2_highEV,date=2022-25-5T12:51:07-04:00",AL,intermediate generation,biomass (IGCC CCS) (seawater),biomass_int_IGCC_CCS,0,0,0,0,0,1.40E-04,6.72E-04,0.001668178,0.003162885,0.005266028,0.007182671,0,0,0,MTC
"NEWdac_netzero_usa_global_ssp2_highEV,date=2022-25-5T12:51:07-04:00",AL,intermediate generation,biomass (conv CCS) (recirculating),biomass_int_conv_CCS,0,0,0,0,0,9.10E-04,0.004713174,0.012701564,0.02471725,0.039983894,0.051464548,0,0,0,MTC
