water withdrawals by tech,,,,,,,,,,,,,,,,,,,
scenario,region,sector,subsector,technology,1990,2005,2010,2015,2020,2025,2030,2035,2040,2045,2050,2065,2080,2095,Units
"NEWdac_netzero_usa_global_ssp2_highEV,date=2022-25-5T12:51:07-04:00",ME,industry,industry,industry,0.35023,0.23421,0.265156,0.251507,0.254219,0.261702,0.272588,0.280552,0.283192,0.283487,0.2895,0,0,0,km^3
"NEWdac_netzero_usa_global_ssp2_highEV,date=2022-25-5T12:51:07-04:00",ME,municipal water,municipal water,municipal water,0.213667,0.179515,0.171793,0.161086,0.164014,0.168046,0.173364,0.177472,0.182321,0.186626,0.190495,0,0,0,km^3
"NEWdac_netzero_usa_global_ssp2_highEV,date=2022-25-5T12:51:07-04:00",MI,CO2 removal,dac,hightemp DAC NG,0,0,0,0,0,6.12E-07,1.90E-05,5.51E-04,0.010400293,0.096463632,0.185557963,0,0,0,km^3
"NEWdac_netzero_usa_global_ssp2_highEV,date=2022-25-5T12:51:07-04:00",MI,CO2 removal,dac,hightemp DAC elec,0,0,0,0,0,2.80E-09,8.13E-08,2.11E-06,5.07E-05,6.84E-04,0.001790652,0,0,0,km^3
"NEWdac_netzero_usa_global_ssp2_highEV,date=2022-25-5T12:51:07-04:00",MI,industry,industry,industry,2.32699,0.868648,0.845341,0.715561,0.730482,0.737321,0.763107,0.784471,0.808421,0.829236,0.864114,0,0,0,km^3
"NEWdac_netzero_usa_global_ssp2_highEV,date=2022-25-5T12:51:07-04:00",MI,municipal water,municipal water,municipal water,2.10677,1.92545,1.82168,1.68194,1.72294,1.77971,1.84206,1.89166,1.94307,1.9897,2.03445,0,0,0,km^3
"NEWdac_netzero_usa_global_ssp2_highEV,date=2022-25-5T12:51:07-04:00",MN,CO2 removal,dac,hightemp DAC NG,0,0,0,0,0,3.27E-07,1.04E-05,2.93E-04,0.005418675,0.050308575,0.094399714,0,0,0,km^3
"NEWdac_netzero_usa_global_ssp2_highEV,date=2022-25-5T12:51:07-04:00",MN,CO2 removal,dac,hightemp DAC elec,0,0,0,0,0,1.97E-09,6.34E-08,1.56E-06,3.81E-05,5.81E-04,0.001555935,0,0,0,km^3
"NEWdac_netzero_usa_global_ssp2_highEV,date=2022-25-5T12:51:07-04:00",MN,industry,industry,industry,0.212202,0.191452,0.184475,0.357801,0.373362,0.383409,0.399478,0.414229,0.42924,0.441377,0.458756,0,0,0,km^3
"NEWdac_netzero_usa_global_ssp2_highEV,date=2022-25-5T12:51:07-04:00",MN,municipal water,municipal water,municipal water,0.943775,0.849016,0.857374,0.82542,0.857238,0.889065,0.919513,0.944952,0.971185,0.995518,1.01844,0,0,0,km^3
