"region","sector","Year","co2.emiss","scenario"
"WY","biomass liquids","1990",0,"NEWdac_netzero_usa_global_ssp2_highEV_luc2050"
"AL","cement","1990",0.245891,"NEWdac_netzero_usa_global_ssp2_highEV_luc2050"
"AR","cement","1990",0.0783017,"NEWdac_netzero_usa_global_ssp2_highEV_luc2050"
"AZ","cement","1990",0.35523,"NEWdac_netzero_usa_global_ssp2_highEV_luc2050"
"CA","cement","1990",1.1583,"NEWdac_netzero_usa_global_ssp2_highEV_luc2050"
"CO","cement","1990",0.215744,"NEWdac_netzero_usa_global_ssp2_highEV_luc2050"
"CT","cement","1990",0.0766575,"NEWdac_netzero_usa_global_ssp2_highEV_luc2050"
"FL","cement","1990",0.701497,"NEWdac_netzero_usa_global_ssp2_highEV_luc2050"
"GA","cement","1990",0.307418,"NEWdac_netzero_usa_global_ssp2_highEV_luc2050"
"IA","cement","1990",0.156345,"NEWdac_netzero_usa_global_ssp2_highEV_luc2050"
"ID","cement","1990",0.0567759,"NEWdac_netzero_usa_global_ssp2_highEV_luc2050"
"IL","cement","1990",0.391098,"NEWdac_netzero_usa_global_ssp2_highEV_luc2050"
"IN","cement","1990",0.215089,"NEWdac_netzero_usa_global_ssp2_highEV_luc2050"
"KS","cement","1990",0.125452,"NEWdac_netzero_usa_global_ssp2_highEV_luc2050"
"KY","cement","1990",0.0998713,"NEWdac_netzero_usa_global_ssp2_highEV_luc2050"
"LA","cement","1990",0.116218,"NEWdac_netzero_usa_global_ssp2_highEV_luc2050"
"MA","cement","1990",0.0881206,"NEWdac_netzero_usa_global_ssp2_highEV_luc2050"
"MD","cement","1990",0.159062,"NEWdac_netzero_usa_global_ssp2_highEV_luc2050"
"MI","cement","1990",0.227933,"NEWdac_netzero_usa_global_ssp2_highEV_luc2050"
"MN","cement","1990",0.168441,"NEWdac_netzero_usa_global_ssp2_highEV_luc2050"
"MO","cement","1990",0.247148,"NEWdac_netzero_usa_global_ssp2_highEV_luc2050"
"MS","cement","1990",0.0937435,"NEWdac_netzero_usa_global_ssp2_highEV_luc2050"
"NC","cement","1990",0.252481,"NEWdac_netzero_usa_global_ssp2_highEV_luc2050"
"NE","cement","1990",0.0685495,"NEWdac_netzero_usa_global_ssp2_highEV_luc2050"
"NJ","cement","1990",0.209547,"NEWdac_netzero_usa_global_ssp2_highEV_luc2050"
"NM","cement","1990",0.0607366,"NEWdac_netzero_usa_global_ssp2_highEV_luc2050"
"NV","cement","1990",0.163772,"NEWdac_netzero_usa_global_ssp2_highEV_luc2050"
"NY","cement","1990",0.319623,"NEWdac_netzero_usa_global_ssp2_highEV_luc2050"
"OH","cement","1990",0.293729,"NEWdac_netzero_usa_global_ssp2_highEV_luc2050"
"OK","cement","1990",0.135008,"NEWdac_netzero_usa_global_ssp2_highEV_luc2050"
"OR","cement","1990",0.0978202,"NEWdac_netzero_usa_global_ssp2_highEV_luc2050"
"PA","cement","1990",0.474541,"NEWdac_netzero_usa_global_ssp2_highEV_luc2050"
"SC","cement","1990",0.225082,"NEWdac_netzero_usa_global_ssp2_highEV_luc2050"
"SD","cement","1990",0.0421617,"NEWdac_netzero_usa_global_ssp2_highEV_luc2050"
"TN","cement","1990",0.211325,"NEWdac_netzero_usa_global_ssp2_highEV_luc2050"
"TX","cement","1990",1.08227,"NEWdac_netzero_usa_global_ssp2_highEV_luc2050"
"UT","cement","1990",0.102437,"NEWdac_netzero_usa_global_ssp2_highEV_luc2050"
"VA","cement","1990",0.260444,"NEWdac_netzero_usa_global_ssp2_highEV_luc2050"
"WA","cement","1990",0.206666,"NEWdac_netzero_usa_global_ssp2_highEV_luc2050"
"WI","cement","1990",0.160893,"NEWdac_netzero_usa_global_ssp2_highEV_luc2050"
"WV","cement","1990",0.0585828,"NEWdac_netzero_usa_global_ssp2_highEV_luc2050"
"AK","coal to liquids","1990",0,"NEWdac_netzero_usa_global_ssp2_highEV_luc2050"
"AL","coal to liquids","1990",0,"NEWdac_netzero_usa_global_ssp2_highEV_luc2050"
"AR","coal to liquids","1990",0,"NEWdac_netzero_usa_global_ssp2_highEV_luc2050"
"AZ","coal to liquids","1990",0,"NEWdac_netzero_usa_global_ssp2_highEV_luc2050"
"CO","coal to liquids","1990",0,"NEWdac_netzero_usa_global_ssp2_highEV_luc2050"
"IL","coal to liquids","1990",0,"NEWdac_netzero_usa_global_ssp2_highEV_luc2050"
"IN","coal to liquids","1990",0,"NEWdac_netzero_usa_global_ssp2_highEV_luc2050"
"KY","coal to liquids","1990",0,"NEWdac_netzero_usa_global_ssp2_highEV_luc2050"
"LA","coal to liquids","1990",0,"NEWdac_netzero_usa_global_ssp2_highEV_luc2050"
"MD","coal to liquids","1990",0,"NEWdac_netzero_usa_global_ssp2_highEV_luc2050"
"MO","coal to liquids","1990",0,"NEWdac_netzero_usa_global_ssp2_highEV_luc2050"
"MS","coal to liquids","1990",0,"NEWdac_netzero_usa_global_ssp2_highEV_luc2050"
"MT","coal to liquids","1990",0,"NEWdac_netzero_usa_global_ssp2_highEV_luc2050"
"ND","coal to liquids","1990",0,"NEWdac_netzero_usa_global_ssp2_highEV_luc2050"
"NM","coal to liquids","1990",0,"NEWdac_netzero_usa_global_ssp2_highEV_luc2050"
"OH","coal to liquids","1990",0,"NEWdac_netzero_usa_global_ssp2_highEV_luc2050"
"OK","coal to liquids","1990",0,"NEWdac_netzero_usa_global_ssp2_highEV_luc2050"
"PA","coal to liquids","1990",0,"NEWdac_netzero_usa_global_ssp2_highEV_luc2050"
"TN","coal to liquids","1990",0,"NEWdac_netzero_usa_global_ssp2_highEV_luc2050"
"TX","coal to liquids","1990",0,"NEWdac_netzero_usa_global_ssp2_highEV_luc2050"
"UT","coal to liquids","1990",0,"NEWdac_netzero_usa_global_ssp2_highEV_luc2050"
"VA","coal to liquids","1990",0,"NEWdac_netzero_usa_global_ssp2_highEV_luc2050"
"WV","coal to liquids","1990",0,"NEWdac_netzero_usa_global_ssp2_highEV_luc2050"
"WY","coal to liquids","1990",0,"NEWdac_netzero_usa_global_ssp2_highEV_luc2050"
"AK","comm cooking","1990",0.01100921,"NEWdac_netzero_usa_global_ssp2_highEV_luc2050"
"AL","comm cooking","1990",0.01954782,"NEWdac_netzero_usa_global_ssp2_highEV_luc2050"
"AR","comm cooking","1990",0.01391071,"NEWdac_netzero_usa_global_ssp2_highEV_luc2050"
"AZ","comm cooking","1990",0.0269296,"NEWdac_netzero_usa_global_ssp2_highEV_luc2050"
"CA","comm cooking","1990",0.442681,"NEWdac_netzero_usa_global_ssp2_highEV_luc2050"
"CO","comm cooking","1990",0.0341376,"NEWdac_netzero_usa_global_ssp2_highEV_luc2050"
"CT","comm cooking","1990",0.02489776,"NEWdac_netzero_usa_global_ssp2_highEV_luc2050"
"DC","comm cooking","1990",0.01015574,"NEWdac_netzero_usa_global_ssp2_highEV_luc2050"
"DE","comm cooking","1990",0.00290743,"NEWdac_netzero_usa_global_ssp2_highEV_luc2050"
"FL","comm cooking","1990",0.0717606,"NEWdac_netzero_usa_global_ssp2_highEV_luc2050"
"GA","comm cooking","1990",0.0512505,"NEWdac_netzero_usa_global_ssp2_highEV_luc2050"
"HI","comm cooking","1990",0.00713031,"NEWdac_netzero_usa_global_ssp2_highEV_luc2050"
"IA","comm cooking","1990",0.0317925,"NEWdac_netzero_usa_global_ssp2_highEV_luc2050"
"ID","comm cooking","1990",0.00461887,"NEWdac_netzero_usa_global_ssp2_highEV_luc2050"
"IL","comm cooking","1990",0.1646531,"NEWdac_netzero_usa_global_ssp2_highEV_luc2050"
"IN","comm cooking","1990",0.0593779,"NEWdac_netzero_usa_global_ssp2_highEV_luc2050"
"KS","comm cooking","1990",0.0492077,"NEWdac_netzero_usa_global_ssp2_highEV_luc2050"
"KY","comm cooking","1990",0.01788696,"NEWdac_netzero_usa_global_ssp2_highEV_luc2050"
"LA","comm cooking","1990",0.0255223,"NEWdac_netzero_usa_global_ssp2_highEV_luc2050"
"MA","comm cooking","1990",0.039594,"NEWdac_netzero_usa_global_ssp2_highEV_luc2050"
"MD","comm cooking","1990",0.01786928,"NEWdac_netzero_usa_global_ssp2_highEV_luc2050"
"ME","comm cooking","1990",0.00099526,"NEWdac_netzero_usa_global_ssp2_highEV_luc2050"
"MI","comm cooking","1990",0.1233404,"NEWdac_netzero_usa_global_ssp2_highEV_luc2050"
"MN","comm cooking","1990",0.0486628,"NEWdac_netzero_usa_global_ssp2_highEV_luc2050"
"MO","comm cooking","1990",0.0543165,"NEWdac_netzero_usa_global_ssp2_highEV_luc2050"
"MS","comm cooking","1990",0.01497932,"NEWdac_netzero_usa_global_ssp2_highEV_luc2050"
"MT","comm cooking","1990",0.0059528,"NEWdac_netzero_usa_global_ssp2_highEV_luc2050"
"NC","comm cooking","1990",0.0284072,"NEWdac_netzero_usa_global_ssp2_highEV_luc2050"
"ND","comm cooking","1990",0.00601099,"NEWdac_netzero_usa_global_ssp2_highEV_luc2050"
"NE","comm cooking","1990",0.0262483,"NEWdac_netzero_usa_global_ssp2_highEV_luc2050"
"NH","comm cooking","1990",0.00327626,"NEWdac_netzero_usa_global_ssp2_highEV_luc2050"
"NJ","comm cooking","1990",0.1549294,"NEWdac_netzero_usa_global_ssp2_highEV_luc2050"
"NM","comm cooking","1990",0.01574354,"NEWdac_netzero_usa_global_ssp2_highEV_luc2050"
"NV","comm cooking","1990",0.010998,"NEWdac_netzero_usa_global_ssp2_highEV_luc2050"
"NY","comm cooking","1990",0.237072,"NEWdac_netzero_usa_global_ssp2_highEV_luc2050"
"OH","comm cooking","1990",0.1264433,"NEWdac_netzero_usa_global_ssp2_highEV_luc2050"
"OK","comm cooking","1990",0.01917871,"NEWdac_netzero_usa_global_ssp2_highEV_luc2050"
"OR","comm cooking","1990",0.02039236,"NEWdac_netzero_usa_global_ssp2_highEV_luc2050"
"PA","comm cooking","1990",0.1566368,"NEWdac_netzero_usa_global_ssp2_highEV_luc2050"
"RI","comm cooking","1990",0.00659105,"NEWdac_netzero_usa_global_ssp2_highEV_luc2050"
"SC","comm cooking","1990",0.01642937,"NEWdac_netzero_usa_global_ssp2_highEV_luc2050"
"SD","comm cooking","1990",0.00561729,"NEWdac_netzero_usa_global_ssp2_highEV_luc2050"
"TN","comm cooking","1990",0.027236,"NEWdac_netzero_usa_global_ssp2_highEV_luc2050"
"TX","comm cooking","1990",0.1403327,"NEWdac_netzero_usa_global_ssp2_highEV_luc2050"
"UT","comm cooking","1990",0.00915213,"NEWdac_netzero_usa_global_ssp2_highEV_luc2050"
"VA","comm cooking","1990",0.0328843,"NEWdac_netzero_usa_global_ssp2_highEV_luc2050"
"VT","comm cooking","1990",0.001083563,"NEWdac_netzero_usa_global_ssp2_highEV_luc2050"
"WA","comm cooking","1990",0.0400803,"NEWdac_netzero_usa_global_ssp2_highEV_luc2050"
"WI","comm cooking","1990",0.04473,"NEWdac_netzero_usa_global_ssp2_highEV_luc2050"
"WV","comm cooking","1990",0.01461346,"NEWdac_netzero_usa_global_ssp2_highEV_luc2050"
"WY","comm cooking","1990",0.0043882,"NEWdac_netzero_usa_global_ssp2_highEV_luc2050"
"AK","comm cooling","1990",1.8465e-05,"NEWdac_netzero_usa_global_ssp2_highEV_luc2050"
"AL","comm cooling","1990",2.556e-05,"NEWdac_netzero_usa_global_ssp2_highEV_luc2050"
"AR","comm cooling","1990",0.000153362,"NEWdac_netzero_usa_global_ssp2_highEV_luc2050"
"AZ","comm cooling","1990",2.698e-05,"NEWdac_netzero_usa_global_ssp2_highEV_luc2050"
