CO2 sequestration by tech,,,,,,,,,,,,,,,,,,,
scenario,region,sector,technology,subsector,1990,2005,2010,2015,2020,2025,2030,2035,2040,2045,2050,2065,2080,2095,Units
"NEWdac_netzero_usa_global_ssp2_highEV_luc2050,date=2022-28-9T22:14:52+20:00",AL,biomass liquids,FT biofuels CCS level 2,biomass liquids,0,0,0,0,0,0,0,0.057195,0.4016163,0.3982473,0.4917829,0,0,0,MTC
"NEWdac_netzero_usa_global_ssp2_highEV_luc2050,date=2022-28-9T22:14:52+20:00",AL,biomass liquids,cellulosic ethanol CCS level 1,biomass liquids,0,0,0,0,0,0,0,0.0177637,0.0841548,0.0832719,0.0769887,0,0,0,MTC
"NEWdac_netzero_usa_global_ssp2_highEV_luc2050,date=2022-28-9T22:14:52+20:00",AL,biomass liquids,cellulosic ethanol CCS level 2,biomass liquids,0,0,0,0,0,0,0,0.156401,1.083878,1.074784,1.299855,0,0,0,MTC
"NEWdac_netzero_usa_global_ssp2_highEV_luc2050,date=2022-28-9T22:14:52+20:00",AL,cement,cement CCS,cement,0,0,0,0,0,0.0982853,0.160722,0.201032,0.220803,0.230537,0.246785,0,0,0,MTC
"NEWdac_netzero_usa_global_ssp2_highEV_luc2050,date=2022-28-9T22:14:52+20:00",AL,coal to liquids,coal to liquids CCS level 1,coal to liquids,0,0,0,0,0,0,0,4.29E-04,0.002114554,0.002093951,0.012189097,0,0,0,MTC
"NEWdac_netzero_usa_global_ssp2_highEV_luc2050,date=2022-28-9T22:14:52+20:00",AL,coal to liquids,coal to liquids CCS level 2,coal to liquids,0,0,0,0,0,0,0,5.24E-04,0.002866686,0.002842079,0.016755833,0,0,0,MTC
"NEWdac_netzero_usa_global_ssp2_highEV_luc2050,date=2022-28-9T22:14:52+20:00",AL,industrial feedstocks,refined liquids,refined liquids,1.08903,2.0334,0.981787,1.05041,1.06185,1.07382,1.11263,1.13427,1.14815,1.16155,1.20495,0,0,0,MTC
"NEWdac_netzero_usa_global_ssp2_highEV_luc2050,date=2022-28-9T22:14:52+20:00",AL,intermediate generation,biomass (IGCC CCS) (dry cooling),biomass_int_IGCC_CCS,0,0,0,0,0,1.27E-04,6.02E-04,0.001582168,0.003078557,0.005053439,0.006837033,0,0,0,MTC
"NEWdac_netzero_usa_global_ssp2_highEV_luc2050,date=2022-28-9T22:14:52+20:00",AL,intermediate generation,biomass (IGCC CCS) (recirculating),biomass_int_IGCC_CCS,0,0,0,0,0,1.30E-04,6.16E-04,0.001614846,0.003142695,0.005173687,0.007026353,0,0,0,MTC
"NEWdac_netzero_usa_global_ssp2_highEV_luc2050,date=2022-28-9T22:14:52+20:00",AL,intermediate generation,biomass (IGCC CCS) (seawater),biomass_int_IGCC_CCS,0,0,0,0,0,1.31E-04,6.19E-04,0.001624438,0.003162328,0.005206399,0.007070225,0,0,0,MTC
"NEWdac_netzero_usa_global_ssp2_highEV_luc2050,date=2022-28-9T22:14:52+20:00",AL,intermediate generation,biomass (conv CCS) (recirculating),biomass_int_conv_CCS,0,0,0,0,0,8.43E-04,0.004258506,0.012225319,0.024388567,0.038551645,0.049230006,0,0,0,MTC
"NEWdac_netzero_usa_global_ssp2_highEV_luc2050,date=2022-28-9T22:14:52+20:00",AL,intermediate generation,coal (IGCC CCS) (dry cooling),coal_int_IGCC_CCS,0,0,0,0,0,0.002422,0.00815609,0.01589362,0.02522801,0.03736354,0.05058324,0,0,0,MTC
"NEWdac_netzero_usa_global_ssp2_highEV_luc2050,date=2022-28-9T22:14:52+20:00",AL,intermediate generation,coal (IGCC CCS) (recirculating),coal_int_IGCC_CCS,0,0,0,0,0,0.00253692,0.00856871,0.01673167,0.02660604,0.03947992,0.05353442,0,0,0,MTC
"NEWdac_netzero_usa_global_ssp2_highEV_luc2050,date=2022-28-9T22:14:52+20:00",AL,intermediate generation,coal (IGCC CCS) (seawater),coal_int_IGCC_CCS,0,0,0,0,0,0.00255386,0.00862693,0.01684733,0.02679282,0.03976093,0.05392056,0,0,0,MTC
"NEWdac_netzero_usa_global_ssp2_highEV_luc2050,date=2022-28-9T22:14:52+20:00",AL,intermediate generation,coal (conv pul CCS) (dry cooling),coal_int_conv pul_CCS,0,0,0,0,0,0.00341111,0.01088121,0.02038739,0.03132105,0.04494052,0.05933705,0,0,0,MTC
"NEWdac_netzero_usa_global_ssp2_highEV_luc2050,date=2022-28-9T22:14:52+20:00",AL,intermediate generation,coal (conv pul CCS) (recirculating),coal_int_conv pul_CCS,0,0,0,0,0,0.0036067,0.01152312,0.02160599,0.0332153,0.04769816,0.06302446,0,0,0,MTC
"NEWdac_netzero_usa_global_ssp2_highEV_luc2050,date=2022-28-9T22:14:52+20:00",AL,intermediate generation,coal (conv pul CCS) (seawater),coal_int_conv pul_CCS,0,0,0,0,0,0.00363284,0.01160656,0.02176294,0.03345727,0.04804648,0.06348662,0,0,0,MTC
"NEWdac_netzero_usa_global_ssp2_highEV_luc2050,date=2022-28-9T22:14:52+20:00",AL,intermediate generation,gas (CC CCS) (recirculating),gas_int_CC_CCS,0,0,0,0,2.19E-10,0.0324722,0.1106194,0.2067319,0.3204956,0.4668522,0.6268015,0,0,0,MTC
"NEWdac_netzero_usa_global_ssp2_highEV_luc2050,date=2022-28-9T22:14:52+20:00",AL,peak generation,gas (CC CCS) (recirculating),gas_peak_CC_CCS,0,0,0,0,0,5.31E-06,1.07E-05,1.75E-05,2.62E-05,3.89E-05,6.20E-05,0,0,0,MTC
"NEWdac_netzero_usa_global_ssp2_highEV_luc2050,date=2022-28-9T22:14:52+20:00",AL,process heat dac,gas CCS,gas CCS,0,0,0,0,0,1.10E-05,3.15E-04,0.0107126,0.225125,1.83283,3.28776,0,0,0,MTC
"NEWdac_netzero_usa_global_ssp2_highEV_luc2050,date=2022-28-9T22:14:52+20:00",AL,subpeak generation,gas (CC CCS) (recirculating),gas_subpeak_CC_CCS,0,0,0,0,0,2.80E-04,6.21E-04,0.001027713,0.001558334,0.002536049,0.003783177,0,0,0,MTC
"NEWdac_netzero_usa_global_ssp2_highEV_luc2050,date=2022-28-9T22:14:52+20:00",AR,CO2 removal,hightemp DAC NG,dac,0,0,0,0,0,9.90E-06,3.03E-04,0.010993321,0.247845671,2.165252528,4.05473457,0,0,0,MTC
"NEWdac_netzero_usa_global_ssp2_highEV_luc2050,date=2022-28-9T22:14:52+20:00",AR,CO2 removal,hightemp DAC elec,dac,0,0,0,0,0,2.87E-08,1.07E-06,4.07E-05,0.00110725,0.013078391,0.028547192,0,0,0,MTC
"NEWdac_netzero_usa_global_ssp2_highEV_luc2050,date=2022-28-9T22:14:52+20:00",AR,CO2 removal,lowtemp DAC heatpump,dac,0,0,0,0,0,2.33E-08,1.65E-06,1.36E-04,0.00800012,0.19017355,0.780017194,0,0,0,MTC
"NEWdac_netzero_usa_global_ssp2_highEV_luc2050,date=2022-28-9T22:14:52+20:00",AR,base load generation,biomass (IGCC CCS) (dry cooling),biomass_base_IGCC_CCS,0,0,0,0,0,3.90E-04,0.004157314,0.019975709,0.045038997,0.06404502,0.071434833,0,0,0,MTC
"NEWdac_netzero_usa_global_ssp2_highEV_luc2050,date=2022-28-9T22:14:52+20:00",AR,base load generation,biomass (IGCC CCS) (recirculating),biomass_base_IGCC_CCS,0,0,0,0,0,4.03E-04,0.0042547,0.020140804,0.045279092,0.064697805,0.072481233,0,0,0,MTC
"NEWdac_netzero_usa_global_ssp2_highEV_luc2050,date=2022-28-9T22:14:52+20:00",AR,base load generation,biomass (conv CCS) (recirculating),biomass_base_conv_CCS,0,0,0,0,0,0.00141389,0.01852966,0.13005346,0.32041424,0.41733099,0.43833644,0,0,0,MTC
"NEWdac_netzero_usa_global_ssp2_highEV_luc2050,date=2022-28-9T22:14:52+20:00",AR,base load generation,coal (IGCC CCS) (dry cooling),coal_base_IGCC_CCS,0,0,0,0,0,0.0103975,0.0487726,0.0957481,0.1391431,0.1858672,0.2285376,0,0,0,MTC
"NEWdac_netzero_usa_global_ssp2_highEV_luc2050,date=2022-28-9T22:14:52+20:00",AR,base load generation,coal (IGCC CCS) (recirculating),coal_base_IGCC_CCS,0,0,0,0,0,0.010921,0.0514008,0.1011327,0.1472581,0.1970703,0.2426436,0,0,0,MTC
"NEWdac_netzero_usa_global_ssp2_highEV_luc2050,date=2022-28-9T22:14:52+20:00",AR,base load generation,coal (conv pul CCS) (dry cooling),coal_base_conv pul_CCS,0,0,0,0,0,0.0136446,0.060609,0.1152974,0.1636498,0.2137424,0.2584594,0,0,0,MTC
"NEWdac_netzero_usa_global_ssp2_highEV_luc2050,date=2022-28-9T22:14:52+20:00",AR,base load generation,coal (conv pul CCS) (recirculating),coal_base_conv pul_CCS,0,0,0,0,0,0.0144555,0.0643307,0.1225592,0.1742283,0.2278744,0.2757941,0,0,0,MTC
"NEWdac_netzero_usa_global_ssp2_highEV_luc2050,date=2022-28-9T22:14:52+20:00",AR,base load generation,gas (CC CCS) (recirculating),gas_base_CC_CCS,0,0,0,0,0,0.0224051,0.1554375,0.3080106,0.455726,0.6234931,0.7746502,0,0,0,MTC
"NEWdac_netzero_usa_global_ssp2_highEV_luc2050,date=2022-28-9T22:14:52+20:00",AR,biomass liquids,FT biofuels CCS level 1,biomass liquids,0,0,0,0,0,0,0,0.0566222,0.3763549,0.3731934,0.4692015,0,0,0,MTC
"NEWdac_netzero_usa_global_ssp2_highEV_luc2050,date=2022-28-9T22:14:52+20:00",AR,biomass liquids,FT biofuels CCS level 2,biomass liquids,0,0,0,0,0,0,0,0.0724502,0.5087931,0.5045256,0.6229441,0,0,0,MTC
"NEWdac_netzero_usa_global_ssp2_highEV_luc2050,date=2022-28-9T22:14:52+20:00",AR,biomass liquids,cellulosic ethanol CCS level 1,biomass liquids,0,0,0,0,0,0,0,0.0224392,0.1063169,0.1052031,0.0973432,0,0,0,MTC
"NEWdac_netzero_usa_global_ssp2_highEV_luc2050,date=2022-28-9T22:14:52+20:00",AR,biomass liquids,cellulosic ethanol CCS level 2,biomass liquids,0,0,0,0,0,0,0,0.198173,1.373504,1.361982,1.646996,0,0,0,MTC
"NEWdac_netzero_usa_global_ssp2_highEV_luc2050,date=2022-28-9T22:14:52+20:00",AR,cement,cement CCS,cement,0,0,0,0,0,0.0294956,0.0473269,0.0590876,0.0645289,0.067135,0.0715973,0,0,0,MTC
"NEWdac_netzero_usa_global_ssp2_highEV_luc2050,date=2022-28-9T22:14:52+20:00",AR,coal to liquids,coal to liquids CCS level 1,coal to liquids,0,0,0,0,0,0,0,1.46E-06,7.19E-06,7.12E-06,4.15E-05,0,0,0,MTC
"NEWdac_netzero_usa_global_ssp2_highEV_luc2050,date=2022-28-9T22:14:52+20:00",AR,coal to liquids,coal to liquids CCS level 2,coal to liquids,0,0,0,0,0,0,0,1.79E-06,9.76E-06,9.68E-06,5.71E-05,0,0,0,MTC
"NEWdac_netzero_usa_global_ssp2_highEV_luc2050,date=2022-28-9T22:14:52+20:00",AR,industrial feedstocks,refined liquids,refined liquids,0.124864,0.137872,0.610987,0.50644,0.512608,0.516673,0.533527,0.544042,0.549959,0.555133,0.574151,0,0,0,MTC
"NEWdac_netzero_usa_global_ssp2_highEV_luc2050,date=2022-28-9T22:14:52+20:00",AR,intermediate generation,biomass (IGCC CCS) (dry cooling),biomass_int_IGCC_CCS,0,0,0,0,0,9.94E-05,4.44E-04,0.001102328,0.002072984,0.003324347,0.004432289,0,0,0,MTC
"NEWdac_netzero_usa_global_ssp2_highEV_luc2050,date=2022-28-9T22:14:52+20:00",AR,intermediate generation,biomass (IGCC CCS) (recirculating),biomass_int_IGCC_CCS,0,0,0,0,0,1.02E-04,4.54E-04,0.001124995,0.002115838,0.003402458,0.004553033,0,0,0,MTC
"NEWdac_netzero_usa_global_ssp2_highEV_luc2050,date=2022-28-9T22:14:52+20:00",AR,intermediate generation,biomass (conv CCS) (recirculating),biomass_int_conv_CCS,0,0,0,0,0,4.40E-04,0.002092435,0.005660566,0.010921765,0.016905059,0.021324865,0,0,0,MTC
"NEWdac_netzero_usa_global_ssp2_highEV_luc2050,date=2022-28-9T22:14:52+20:00",AR,intermediate generation,coal (IGCC CCS) (dry cooling),coal_int_IGCC_CCS,0,0,0,0,0,0.00163791,0.00462287,0.00860189,0.01347147,0.01990206,0.02699387,0,0,0,MTC
"NEWdac_netzero_usa_global_ssp2_highEV_luc2050,date=2022-28-9T22:14:52+20:00",AR,intermediate generation,coal (IGCC CCS) (recirculating),coal_int_IGCC_CCS,0,0,0,0,0,0.00171532,0.00485489,0.0090517,0.01420176,0.02102196,0.02855913,0,0,0,MTC
"NEWdac_netzero_usa_global_ssp2_highEV_luc2050,date=2022-28-9T22:14:52+20:00",AR,intermediate generation,coal (conv pul CCS) (dry cooling),coal_int_conv pul_CCS,0,0,0,0,0,0.0023077,0.00619656,0.0110869,0.01679225,0.02401063,0.03173525,0,0,0,MTC
"NEWdac_netzero_usa_global_ssp2_highEV_luc2050,date=2022-28-9T22:14:52+20:00",AR,intermediate generation,coal (conv pul CCS) (recirculating),coal_int_conv pul_CCS,0,0,0,0,0,0.00243867,0.00655772,0.01174112,0.0177947,0.02546482,0.03368014,0,0,0,MTC
"NEWdac_netzero_usa_global_ssp2_highEV_luc2050,date=2022-28-9T22:14:52+20:00",AR,intermediate generation,gas (CC CCS) (recirculating),gas_int_CC_CCS,0,0,0,0,0,0.0111051,0.0382154,0.0711294,0.1106589,0.1623148,0.219458,0,0,0,MTC
"NEWdac_netzero_usa_global_ssp2_highEV_luc2050,date=2022-28-9T22:14:52+20:00",AR,peak generation,gas (CC CCS) (recirculating),gas_peak_CC_CCS,0,0,0,0,0,1.43E-06,2.88E-06,4.67E-06,7.00E-06,1.04E-05,1.65E-05,0,0,0,MTC
"NEWdac_netzero_usa_global_ssp2_highEV_luc2050,date=2022-28-9T22:14:52+20:00",AR,process heat dac,gas CCS,gas CCS,0,0,0,0,0,3.74E-06,1.07E-04,0.00365042,0.0766679,0.623377,1.11693,0,0,0,MTC
"NEWdac_netzero_usa_global_ssp2_highEV_luc2050,date=2022-28-9T22:14:52+20:00",AR,subpeak generation,gas (CC CCS) (recirculating),gas_subpeak_CC_CCS,0,0,0,0,0,7.27E-05,1.61E-04,2.65E-04,4.01E-04,6.54E-04,9.76E-04,0,0,0,MTC
