CO2 sequestration by tech,,,,,,,,,,,,,,,,,,,
scenario,region,sector,technology,subsector,1990,2005,2010,2015,2020,2025,2030,2035,2040,2045,2050,2065,2080,2095,Units
"NEWdac_netzero_usa_global_ssp2_highEV_lowCCS,date=2022-31-5T10:59:56-04:00",AL,base load generation,biomass (conv CCS) (recirculating),biomass_base_conv_CCS,0,0,0,0,0,0.0017217,0.01818237,0.1145585,0.3014125,0.4819595,0.53352183,0,0,0,MTC
"NEWdac_netzero_usa_global_ssp2_highEV_lowCCS,date=2022-31-5T10:59:56-04:00",AL,base load generation,coal (IGCC CCS) (dry cooling),coal_base_IGCC_CCS,0,0,0,0,0,0.00789499,0.03972092,0.07497675,0.10587744,0.13520054,0.15941301,0,0,0,MTC
"NEWdac_netzero_usa_global_ssp2_highEV_lowCCS,date=2022-31-5T10:59:56-04:00",AL,base load generation,coal (IGCC CCS) (recirculating),coal_base_IGCC_CCS,0,0,0,0,0,0.00837917,0.04251541,0.08123514,0.11576197,0.14885477,0.17644394,0,0,0,MTC
"NEWdac_netzero_usa_global_ssp2_highEV_lowCCS,date=2022-31-5T10:59:56-04:00",AL,base load generation,coal (IGCC CCS) (seawater),coal_base_IGCC_CCS,0,0,0,0,0,0.00841678,0.04270879,0.08160683,0.11629499,0.1495421,0.17726279,0,0,0,MTC
"NEWdac_netzero_usa_global_ssp2_highEV_lowCCS,date=2022-31-5T10:59:56-04:00",AL,base load generation,coal (conv pul CCS) (dry cooling),coal_base_conv pul_CCS,0,0,0,0,0,0.00932757,0.04437482,0.0794666,0.10800012,0.13359965,0.15399321,0,0,0,MTC
"NEWdac_netzero_usa_global_ssp2_highEV_lowCCS,date=2022-31-5T10:59:56-04:00",AL,base load generation,coal (conv pul CCS) (recirculating),coal_base_conv pul_CCS,0,0,0,0,0,0.00998834,0.04801236,0.08746325,0.12037505,0.15028083,0.17442571,0,0,0,MTC
"NEWdac_netzero_usa_global_ssp2_highEV_lowCCS,date=2022-31-5T10:59:56-04:00",AL,base load generation,coal (conv pul CCS) (seawater),coal_base_conv pul_CCS,0,0,0,0,0,0.0100346,0.04823483,0.0878672,0.12092982,0.1509703,0.17522636,0,0,0,MTC
"NEWdac_netzero_usa_global_ssp2_highEV_lowCCS,date=2022-31-5T10:59:56-04:00",AL,base load generation,gas (CC CCS) (recirculating),gas_base_CC_CCS,0,0,0,0,0,0.041206,0.250425,0.4839632,0.697889,0.9214494,1.1112808,0,0,0,MTC
"NEWdac_netzero_usa_global_ssp2_highEV_lowCCS,date=2022-31-5T10:59:56-04:00",AL,biomass liquids,FT biofuels CCS level 1,biomass liquids,0,0,0,0,0,0,0,0.0441414,0.319847,0.3858256,0.4651653,0,0,0,MTC
"NEWdac_netzero_usa_global_ssp2_highEV_lowCCS,date=2022-31-5T10:59:56-04:00",AL,biomass liquids,FT biofuels CCS level 2,biomass liquids,0,0,0,0,0,0,0,0.0528034,0.4074351,0.4949924,0.5915465,0,0,0,MTC
