final energy consumption by sector and fuel,,,,,,,,,,,,,,,,,,
scenario,region,sector,input,1990,2005,2010,2015,2020,2025,2030,2035,2040,2045,2050,2065,2080,2095,Units
"NEWdac_netzero_usa_global_ssp2_highEV_lowCCS,date=2022-31-5T10:59:56-04:00",AK,resid hot water,gas,0.001379522,0.002374244,0.002533777,0.003328756,0.002962816,0.002810062,0.002686915,0.002478709,0.002597331,0.00267996,0.002808908,0,0,0,EJ
"NEWdac_netzero_usa_global_ssp2_highEV_lowCCS,date=2022-31-5T10:59:56-04:00",AK,resid hot water,refined liquids,2.24E-05,5.00E-04,8.70E-04,6.75E-04,5.73E-04,5.10E-04,4.36E-04,3.29E-04,3.26E-04,2.91E-04,2.32E-04,0,0,0,EJ
"NEWdac_netzero_usa_global_ssp2_highEV_lowCCS,date=2022-31-5T10:59:56-04:00",AK,resid lighting,electricity,6.41E-04,0.001092289,8.56E-04,5.04E-04,3.29E-04,1.19E-04,1.07E-04,1.07E-04,1.12E-04,1.16E-04,1.21E-04,0,0,0,EJ
"NEWdac_netzero_usa_global_ssp2_highEV_lowCCS,date=2022-31-5T10:59:56-04:00",AK,resid other,electricity,4.65E-04,0.0015175,0.0014142,0.0011592,0.00126952,0.00128322,0.00137951,0.00141642,0.00146761,0.00154603,0.00161103,0,0,0,EJ
"NEWdac_netzero_usa_global_ssp2_highEV_lowCCS,date=2022-31-5T10:59:56-04:00",AK,resid other,gas,5.65E-05,0,2.86E-04,2.25E-04,1.63E-04,1.72E-04,1.73E-04,1.96E-04,2.13E-04,2.22E-04,2.37E-04,0,0,0,EJ
"NEWdac_netzero_usa_global_ssp2_highEV_lowCCS,date=2022-31-5T10:59:56-04:00",AK,resid other,refined liquids,5.35E-05,2.22E-04,3.47E-04,2.43E-04,1.67E-04,1.75E-04,1.74E-04,2.16E-04,2.47E-04,2.49E-04,2.51E-04,0,0,0,EJ
"NEWdac_netzero_usa_global_ssp2_highEV_lowCCS,date=2022-31-5T10:59:56-04:00",AK,resid refrigerators,electricity,4.86E-04,5.92E-04,4.85E-04,3.81E-04,3.71E-04,3.74E-04,3.91E-04,4.09E-04,4.26E-04,4.46E-04,4.63E-04,0,0,0,EJ
"NEWdac_netzero_usa_global_ssp2_highEV_lowCCS,date=2022-31-5T10:59:56-04:00",AK,resid televisions,electricity,1.96E-04,4.49E-04,4.34E-04,3.33E-04,2.93E-04,2.77E-04,2.94E-04,3.12E-04,3.29E-04,3.46E-04,3.60E-04,0,0,0,EJ
"NEWdac_netzero_usa_global_ssp2_highEV_lowCCS,date=2022-31-5T10:59:56-04:00",AK,trn_aviation_intl,refined liquids,0.020841,0.0383762,0.0268151,0.0214621,0.0198659,0.0189525,0.0189498,0.0192127,0.0196893,0.0199115,0.0203446,0,0,0,EJ
"NEWdac_netzero_usa_global_ssp2_highEV_lowCCS,date=2022-31-5T10:59:56-04:00",AK,trn_freight,refined liquids,0.003661113,0.003556909,0.003525518,0.00266077,0.00255882,0.0025449,0.002684,0.00279981,0.00290994,0.00301102,0.00312532,0,0,0,EJ
"NEWdac_netzero_usa_global_ssp2_highEV_lowCCS,date=2022-31-5T10:59:56-04:00",AK,trn_freight_road,electricity,0,0,0,0,6.90E-06,2.72E-04,0.001574778,0.003395697,0.004534381,0.006029416,0.007988678,0,0,0,EJ
"NEWdac_netzero_usa_global_ssp2_highEV_lowCCS,date=2022-31-5T10:59:56-04:00",AK,trn_freight_road,gas,0,0,0,0,2.85E-04,7.32E-04,0.001274188,0.00182418,0.001853291,0.001859495,0.002039463,0,0,0,EJ
"NEWdac_netzero_usa_global_ssp2_highEV_lowCCS,date=2022-31-5T10:59:56-04:00",AK,trn_freight_road,refined liquids,0.05335304,0.05363972,0.05285395,0.04029216,0.03819214,0.035124963,0.030074753,0.024159542,0.022394023,0.019556855,0.016698882,0,0,0,EJ
"NEWdac_netzero_usa_global_ssp2_highEV_lowCCS,date=2022-31-5T10:59:56-04:00",AK,trn_pass,electricity,0,0,0,0,8.51E-07,1.68E-06,2.70E-06,3.75E-06,5.30E-06,7.30E-06,9.84E-06,0,0,0,EJ
"NEWdac_netzero_usa_global_ssp2_highEV_lowCCS,date=2022-31-5T10:59:56-04:00",AK,trn_pass,refined liquids,0.079783191,0.14678509,0.102608891,0.082120094,0.07747515,0.072780443,0.072496102,0.074371223,0.076159152,0.076228369,0.07808618,0,0,0,EJ
"NEWdac_netzero_usa_global_ssp2_highEV_lowCCS,date=2022-31-5T10:59:56-04:00",AK,trn_pass_road,electricity,0,0,0,0,3.69E-05,1.95E-04,3.08E-04,3.63E-04,3.51E-04,3.36E-04,3.24E-04,0,0,0,EJ
"NEWdac_netzero_usa_global_ssp2_highEV_lowCCS,date=2022-31-5T10:59:56-04:00",AK,trn_pass_road,gas,0,9.53E-05,1.28E-04,3.25E-05,1.25E-04,1.45E-04,1.41E-04,1.24E-04,1.29E-04,1.44E-04,1.63E-04,0,0,0,EJ
"NEWdac_netzero_usa_global_ssp2_highEV_lowCCS,date=2022-31-5T10:59:56-04:00",AK,trn_pass_road,refined liquids,0.00204595,0.00205694,0.00202676,0.00154511,0.002092254,0.001807064,0.001021585,5.70E-04,4.65E-04,4.32E-04,4.06E-04,0,0,0,EJ
"NEWdac_netzero_usa_global_ssp2_highEV_lowCCS,date=2022-31-5T10:59:56-04:00",AK,trn_pass_road_LDV,electricity,0,0,0,0,9.32E-06,2.30E-05,2.89E-05,3.16E-05,3.47E-05,3.87E-05,4.27E-05,0,0,0,EJ
"NEWdac_netzero_usa_global_ssp2_highEV_lowCCS,date=2022-31-5T10:59:56-04:00",AK,trn_pass_road_LDV,refined liquids,8.42E-05,1.02E-04,9.96E-05,1.01E-04,6.78E-05,2.84E-05,1.83E-05,1.95E-05,2.07E-05,2.16E-05,2.27E-05,0,0,0,EJ
"NEWdac_netzero_usa_global_ssp2_highEV_lowCCS,date=2022-31-5T10:59:56-04:00",AK,trn_pass_road_LDV_4W,electricity,0,0,0,0,9.42E-05,8.53E-04,0.002193235,0.003050906,0.003649965,0.003790577,0.00383925,0,0,0,EJ
"NEWdac_netzero_usa_global_ssp2_highEV_lowCCS,date=2022-31-5T10:59:56-04:00",AK,trn_pass_road_LDV_4W,gas,0,0,0,0,6.51E-05,1.33E-04,1.70E-04,1.92E-04,2.08E-04,2.09E-04,2.29E-04,0,0,0,EJ
"NEWdac_netzero_usa_global_ssp2_highEV_lowCCS,date=2022-31-5T10:59:56-04:00",AK,trn_pass_road_LDV_4W,hydrogen,0,0,0,0,0,1.84E-07,7.83E-07,1.94E-06,4.00E-06,6.98E-06,1.18E-05,0,0,0,EJ
"NEWdac_netzero_usa_global_ssp2_highEV_lowCCS,date=2022-31-5T10:59:56-04:00",AK,trn_pass_road_LDV_4W,refined liquids,0.023913097,0.029089497,0.028296497,0.028628397,0.025795694,0.020731567,0.013718186,0.008699843,0.004934822,0.004054349,0.003600851,0,0,0,EJ
"NEWdac_netzero_usa_global_ssp2_highEV_lowCCS,date=2022-31-5T10:59:56-04:00",AK,trn_shipping_intl,refined liquids,0.00119608,1.37E-04,3.79E-04,0,0,0,0,0,0,0,0,0,0,0,EJ
"NEWdac_netzero_usa_global_ssp2_highEV_lowCCS,date=2022-31-5T10:59:56-04:00",AL,CO2 removal,electricity,0,0,0,0,0,1.65E-08,5.82E-07,2.92E-05,6.88E-04,0.011296634,0.030788167,0,0,0,EJ
"NEWdac_netzero_usa_global_ssp2_highEV_lowCCS,date=2022-31-5T10:59:56-04:00",AL,CO2 removal,process heat dac,0,0,0,0,0,7.18E-08,2.46E-06,1.18E-04,0.002552616,0.035011902,0.075201817,0,0,0,EJ
"NEWdac_netzero_usa_global_ssp2_highEV_lowCCS,date=2022-31-5T10:59:56-04:00",AL,cement,electricity,0.00108997,0.00149853,9.63E-04,9.63E-04,0.00105508,9.09E-04,9.20E-04,9.48E-04,0.001003727,0.001047225,0.001114316,0,0,0,EJ
"NEWdac_netzero_usa_global_ssp2_highEV_lowCCS,date=2022-31-5T10:59:56-04:00",AL,comm cooking,electricity,5.63E-04,8.35E-04,0.001757459,5.78E-04,6.70E-04,7.62E-04,9.55E-04,0.001161944,0.001382664,0.001629629,0.001792962,0,0,0,EJ
"NEWdac_netzero_usa_global_ssp2_highEV_lowCCS,date=2022-31-5T10:59:56-04:00",AL,comm cooking,gas,0.001376605,0.002497933,0.0046597,0.002432786,0.002428846,0.002348063,0.002210988,0.001963989,0.001767752,0.001545588,0.001520101,0,0,0,EJ
"NEWdac_netzero_usa_global_ssp2_highEV_lowCCS,date=2022-31-5T10:59:56-04:00",AL,comm cooling,electricity,0.008943989,0.0131756,0.0146111,0.013948,0.014312019,0.014254351,0.014209395,0.01398524,0.013873977,0.013708911,0.014080028,0,0,0,EJ
"NEWdac_netzero_usa_global_ssp2_highEV_lowCCS,date=2022-31-5T10:59:56-04:00",AL,comm cooling,gas,1.80E-06,1.06E-04,6.17E-05,5.28E-05,5.30E-05,5.28E-05,5.22E-05,5.06E-05,4.92E-05,4.68E-05,4.74E-05,0,0,0,EJ
"NEWdac_netzero_usa_global_ssp2_highEV_lowCCS,date=2022-31-5T10:59:56-04:00",AL,comm heating,biomass,0.0013881,7.96E-04,8.78E-04,2.54E-04,2.55E-04,2.68E-04,2.93E-04,3.09E-04,2.88E-04,2.19E-04,1.75E-04,0,0,0,EJ
"NEWdac_netzero_usa_global_ssp2_highEV_lowCCS,date=2022-31-5T10:59:56-04:00",AL,comm heating,coal,0.00536679,3.55E-05,0,0,0,0,0,0,0,0,0,0,0,0,EJ
"NEWdac_netzero_usa_global_ssp2_highEV_lowCCS,date=2022-31-5T10:59:56-04:00",AL,comm heating,electricity,0.001094599,0.002387789,0.0015884,0.002426601,0.002723845,0.002933903,0.003350394,0.003872418,0.004476222,0.005431439,0.005822205,0,0,0,EJ
"NEWdac_netzero_usa_global_ssp2_highEV_lowCCS,date=2022-31-5T10:59:56-04:00",AL,comm heating,gas,0.0114329,0.0147304,0.0126861,0.0107046,0.010040075,0.009425451,0.008611305,0.007389098,0.006134318,0.003951157,0.00372566,0,0,0,EJ
"NEWdac_netzero_usa_global_ssp2_highEV_lowCCS,date=2022-31-5T10:59:56-04:00",AL,comm heating,refined liquids,0.00898989,0.00408219,0.0045607,0.0013784,0.001294414,0.001231077,0.001117827,9.35E-04,7.14E-04,3.33E-04,2.39E-04,0,0,0,EJ
"NEWdac_netzero_usa_global_ssp2_highEV_lowCCS,date=2022-31-5T10:59:56-04:00",AL,comm hot water,electricity,0.00233459,0.0016182,8.40E-04,0.00222131,0.002607027,0.002918531,0.003422095,0.003898898,0.004404348,0.004990965,0.005168013,0,0,0,EJ
"NEWdac_netzero_usa_global_ssp2_highEV_lowCCS,date=2022-31-5T10:59:56-04:00",AL,comm hot water,gas,0.00978096,0.0062625,0.00803478,0.00739814,0.007392698,0.007261635,0.007071025,0.006600836,0.00623366,0.005753993,0.00609714,0,0,0,EJ
"NEWdac_netzero_usa_global_ssp2_highEV_lowCCS,date=2022-31-5T10:59:56-04:00",AL,comm hot water,refined liquids,3.74E-04,3.46E-04,8.13E-04,0.00165051,0.001589607,0.001547486,0.001439742,0.001217515,9.11E-04,4.96E-04,3.33E-04,0,0,0,EJ
"NEWdac_netzero_usa_global_ssp2_highEV_lowCCS,date=2022-31-5T10:59:56-04:00",AL,comm lighting,electricity,0.0145393,0.0227669,0.01502,0.0172956,0.016525785,0.015315653,0.013526402,0.010973473,0.01101379,0.011199819,0.011510122,0,0,0,EJ
"NEWdac_netzero_usa_global_ssp2_highEV_lowCCS,date=2022-31-5T10:59:56-04:00",AL,comm non-building,electricity,0.0060541,0.0071041,0.0097965,0.0122117,0.0127467,0.0133135,0.0140022,0.014562,0.0151398,0.0156411,0.0161244,0,0,0,EJ
"NEWdac_netzero_usa_global_ssp2_highEV_lowCCS,date=2022-31-5T10:59:56-04:00",AL,comm office,electricity,0.0029972,0.0044064,0.0078073,0.00555177,0.00531703,0.00561777,0.00597972,0.00627128,0.00657166,0.00682828,0.00707291,0,0,0,EJ
"NEWdac_netzero_usa_global_ssp2_highEV_lowCCS,date=2022-31-5T10:59:56-04:00",AL,comm other,electricity,0.0020787,0.009751,0.0118378,0.0150959,0.0167737,0.017231,0.0173059,0.0165211,0.0163926,0.0171577,0.0177307,0,0,0,EJ
"NEWdac_netzero_usa_global_ssp2_highEV_lowCCS,date=2022-31-5T10:59:56-04:00",AL,comm other,gas,0.0011603,7.78E-04,5.71E-04,0.003663,0.00326069,0.00330301,0.00314602,0.00277903,0.00259618,0.00258638,0.00273923,0,0,0,EJ
"NEWdac_netzero_usa_global_ssp2_highEV_lowCCS,date=2022-31-5T10:59:56-04:00",AL,comm other,refined liquids,0.0014214,0.0013871,0.0027614,0.0038463,0.00345307,0.00405769,0.0054423,0.00765973,0.00905006,0.00922064,0.00938433,0,0,0,EJ
"NEWdac_netzero_usa_global_ssp2_highEV_lowCCS,date=2022-31-5T10:59:56-04:00",AL,comm refrigeration,electricity,9.53E-04,0.0100869,0.0120687,0.00803071,0.007887988,0.007896828,0.007956968,0.007870626,0.008183452,0.008453108,0.008712188,0,0,0,EJ
"NEWdac_netzero_usa_global_ssp2_highEV_lowCCS,date=2022-31-5T10:59:56-04:00",AL,comm ventilation,electricity,0.002146956,0.009542722,0.010825123,0.010131378,0.010519215,0.010938351,0.011308215,0.011605836,0.011829046,0.011992578,0.011781231,0,0,0,EJ
"NEWdac_netzero_usa_global_ssp2_highEV_lowCCS,date=2022-31-5T10:59:56-04:00",AL,industrial energy use,biomass,0.0995516,0.1686324,0.1325265,0.1386967,0.14856818,0.15809515,0.1648122,0.16976081,0.16755923,0.16536467,0.164193397,0,0,0,EJ
"NEWdac_netzero_usa_global_ssp2_highEV_lowCCS,date=2022-31-5T10:59:56-04:00",AL,industrial energy use,coal,0.1271035,0.0624886,0.057142,0.0547195,0.058217707,0.059302276,0.059515632,0.058384276,0.056292172,0.054279759,0.05458518,0,0,0,EJ
"NEWdac_netzero_usa_global_ssp2_highEV_lowCCS,date=2022-31-5T10:59:56-04:00",AL,industrial energy use,electricity,0.0971629,0.126697,0.113669,0.113218,0.0970299,0.0878139,0.09500737,0.09938974,0.10988641,0.11961038,0.13363687,0,0,0,EJ
"NEWdac_netzero_usa_global_ssp2_highEV_lowCCS,date=2022-31-5T10:59:56-04:00",AL,industrial energy use,gas,0.1290504,0.1433137,0.1359357,0.1734477,0.184944354,0.190771397,0.193794598,0.194637791,0.191768621,0.189434329,0.188894428,0,0,0,EJ
"NEWdac_netzero_usa_global_ssp2_highEV_lowCCS,date=2022-31-5T10:59:56-04:00",AL,industrial energy use,hydrogen,0,0,0,0,1.81E-05,3.32E-05,4.99E-05,8.17E-05,7.91E-05,9.19E-05,2.79E-04,0,0,0,EJ
