water withdrawals by tech,,,,,,,,,,,,,,,,,,,
scenario,region,sector,subsector,technology,1990,2005,2010,2015,2020,2025,2030,2035,2040,2045,2050,2065,2080,2095,Units
"NEWdac_netzero_usa_global_ssp2_highEV_lowCCS_luc2050,date=2022-28-9T22:14:52+20:00",GA,CO2 removal,dac,hightemp DAC elec,0,0,0,0,0,2.24E-10,8.10E-09,4.23E-07,1.38E-05,2.68E-04,5.70E-04,0,0,0,km^3
"NEWdac_netzero_usa_global_ssp2_highEV_lowCCS_luc2050,date=2022-28-9T22:14:52+20:00",GA,industry,industry,industry,0.907372,0.734391,0.672982,0.656901,0.69554,0.722392,0.751607,0.767456,0.769586,0.771731,0.794334,0,0,0,km^3
"NEWdac_netzero_usa_global_ssp2_highEV_lowCCS_luc2050,date=2022-28-9T22:14:52+20:00",GA,municipal water,municipal water,municipal water,1.46834,1.79533,1.69966,1.62255,1.71863,1.79407,1.85397,1.89844,1.94228,1.97867,2.01236,0,0,0,km^3
"NEWdac_netzero_usa_global_ssp2_highEV_lowCCS_luc2050,date=2022-28-9T22:14:52+20:00",HI,industry,industry,industry,0.0594885,0.0404096,0.00639646,3.32E-04,3.47E-04,3.46E-04,3.61E-04,3.82E-04,4.03E-04,4.20E-04,4.37E-04,0,0,0,km^3
"NEWdac_netzero_usa_global_ssp2_highEV_lowCCS_luc2050,date=2022-28-9T22:14:52+20:00",HI,municipal water,municipal water,municipal water,0.342508,0.377212,0.389438,0.379947,0.379023,0.381025,0.390429,0.401555,0.412786,0.423265,0.433452,0,0,0,km^3
"NEWdac_netzero_usa_global_ssp2_highEV_lowCCS_luc2050,date=2022-28-9T22:14:52+20:00",IA,CO2 removal,dac,hightemp DAC NG,0,0,0,0,0,1.51E-08,4.69E-07,2.43E-05,7.15E-04,0.011656219,0.025041409,0,0,0,km^3
"NEWdac_netzero_usa_global_ssp2_highEV_lowCCS_luc2050,date=2022-28-9T22:14:52+20:00",IA,CO2 removal,dac,hightemp DAC elec,0,0,0,0,0,2.28E-10,6.49E-09,2.34E-07,8.09E-06,1.96E-04,4.29E-04,0,0,0,km^3
"NEWdac_netzero_usa_global_ssp2_highEV_lowCCS_luc2050,date=2022-28-9T22:14:52+20:00",IA,industry,industry,industry,0.302816,0.261868,0.173064,0.397271,0.402295,0.401513,0.411133,0.415796,0.426237,0.437564,0.454558,0,0,0,km^3
"NEWdac_netzero_usa_global_ssp2_highEV_lowCCS_luc2050,date=2022-28-9T22:14:52+20:00",IA,municipal water,municipal water,municipal water,0.507793,0.597744,0.595783,0.583487,0.585381,0.597088,0.61436,0.629471,0.64505,0.659017,0.672117,0,0,0,km^3
"NEWdac_netzero_usa_global_ssp2_highEV_lowCCS_luc2050,date=2022-28-9T22:14:52+20:00",ID,CO2 removal,dac,hightemp DAC NG,0,0,0,0,0,1.18E-09,3.96E-08,2.40E-06,7.42E-05,0.00111678,0.002243771,0,0,0,km^3
